TM,MOVE,,,LOCATION,,,,,,,HM,MOVE,,,LOCATION
001,,Close Combat,,"Cerulean Cave, 2F, in the south east part of the floor.",,,,,,,001,,Cut,,"S.S. Anne, from the Captain in his room."
002,,Dragon Claw,,"Route 14, in the small patch of grass above the Bikers.",,,,,,,002,,Fly,,"Route 16, from a girl in the house in the top left corner of the Route."
003,,Flip Turn,,"Cerulean City's gym, from Misty after defeating her.",,,,,,,003,,Surf,,"Safari Zone Area 3, from the guy inside the northern Rest House."
004,,Seed Bomb,,"Route 12, in the grassy area below Fisherman's house.",,,,,,,004,,Strength,,"Fuchsia City, from Warden in the south-eastern house after giving him Gold Teeth."
005,,Roar,,"Route 4, after Mt. Moon, right of the two Black Belts, in between the multiple ledges.",,,,,,,005,,Flash,,"Route 2, from Professor Oak's Scientist in the eastern gate."
006,,Toxic,,Celadon City's Game Corner for $17 500.,,,,,,,006,,Rock Smash,,"Fuchsia City, from Brendan after defeating him in front of Safari Zone's entrance."
007,,Heat Wave,,Cinnabar Island's Pokémon Mansion 3F.,,,,,,,007,,Waterfall,,"(POST-GAME) From an old man on Island One, in the Ember Spa."
008,,Zen Headbutt,,"Saffron City's Silph Co. 7F, in the middle-right room. (Keycard required)",,,,,,,008,,Rock Climb,,CANNOT BE FOUND.
009,,Bullet Seed,,"Mt. Moon 1F, west from the entrance.",,,,,,,,,,,
010,,Hidden Power,,"Saffron City's Silph Co. 1F, on the upper right corner of the room behind a plant.",,,,,,,,,,,
011,,Supercell Slam,,"Indigo Plateau, before entering the building, from soupercell after defeating him.",,,,,,,,,,,
012,,Taunt,,Celadon City's Rocket Hideout B2F inside the warp maze.,,,,,,,,,,,
,,,,,(HARDCORE) Unavailable.,,,,,,,,,,
013,,Ice Beam,,Celadon City's Game Corner for $30 000.,,,,,,,,,,,
014,,Blizzard,,Cinnabar Island's Pokémon Mansion B1F.,,,,,,,,,,,
015,,Electroweb,,"Viridian Forest, follow the accessible path around the forest's end without rock break.",,,,,,,,,,,
016,,Light Screen,,Celadon City's Game Corner for $17 500.,,,,,,,,,,,
017,,Protect,,Celadon City's Game Corner for $15 000.,,,,,,,,,,,
,,,,,(HARDCORE) Unavailable.,,,,,,,,,,
018,,Hydro Pump,,"Route 15, above the ledge near the Raid Den.",,,,,,,,,,,
019,,Giga Drain,,"Celadon City's gym, from Erika after defeating her.",,,,,,,,,,,
020,,Hyper Voice,,Celadon City's Game Corner for $15 000.,,,,,,,,,,,
021,,Icy Wind,,Cerulean City's Pokémart for $5000.,,,,,,,,,,,
022,,Weather Ball,,Cinnabar Island's Pokémon Mansion B1F.,,,,,,,,,,,
023,,Iron Head,,"Rock Tunnel 1F, from Lavender Town's side.",,,,,,,,,,,
024,,Thunderbolt,,Celadon City's Game Corner for $30 000.,,,,,,,,,,,
025,,Thunder,,"Power Plant, south east corner.",,,,,,,,,,,
026,,Earthquake,,"Saffron City, from the Dumbass Mudkip Kid after defeating him for the first time.",,,,,,,,,,,
027,,Return,,"Route 12, from a Lass in the northern gate upstairs.",,,,,,,,,,,
028,,Dig,,"Cerulean City, from Team Rocket Grunt.",,,,,,,,,,,
029,,Psychic,,"Saffron City, in Mr. Psychic's house in the south east.",,,,,,,,,,,
030,,Shadow Ball,,"Lavender Town, from Morty after defeating him in Fuji's house.",,,,,,,,,,,
031,,Brick Break,,"S.S. Anne, 1F, second room starting from the left.",,,,,,,,,,,
032,,Aura Sphere,,Safari Zone - Western Area.,,,,,,,,,,,
033,,Reflect,,Celadon City's Game Corner for $15 000.,,,,,,,,,,,
034,,Teleport,,"Route 3, in the large grassy patch with a Lass around.",,,,,,,,,,,
035,,Flamethrower,,Celadon City's Game Corner for $30 000.,,,,,,,,,,,
036,,Sludge Bomb,,"Fuchsia City's gym, from Koga after defeating him.",,,,,,,,,,,
037,,High Horsepower,,"Victory Road 2F, in the central-south part of the floor, below the heightened platform.",,,,,,,,,,,
038,,Fire Blast,,"Cinnabar Island's gym, from Blaine after defeating him.",,,,,,,,,,,
039,,Rock Tomb,,"Pewter City's gym, from Brock after defeating him.",,,,,,,,,,,
040,,Low Kick,,"Route 4's eastern side, from the left Black Belt.",,,,,,,,,,,
041,,Liquidation,,"Saffron City's Silph Co. 4F, on a table.",,,,,,,,,,,
042,,Facade,,"Route 10, east of the exit near Lavender Town.",,,,,,,,,,,
043,,Defog,,"Route 25, in the grassy maze.",,,,,,,,,,,
044,,Rest,,Diglett's Cave - Entrance from Route 11.,,,,,,,,,,,
045,,Draining Kiss,,"Route 24, on the heightened platform.",,,,,,,,,,,
046,,Thief,,Diglett's Cave - Entrance below Pewter City.,,,,,,,,,,,
047,,Steel Wing,,Cerulean City's Pokémart for $10 000.,,,,,,,,,,,
048,,Hurricane,,"Route 12, on a small islet right below the gate. (Surf HM required)",,,,,,,,,,,
049,,Leech Life,,Celadon City's Rocket Hideout B4F.,,,,,,,,,,,
050,,Overheat,,"Victory Road 3F, northwest, by a rock on a narrow path west of the raised platform.",,,,,,,,,,,
051,,Roost,,From Falkner after defeating him in Pewter City's Museum.,,,,,,,,,,,
052,,Focus Blast,,"Route 20, on an islet in the middle of the Route.",,,,,,,,,,,
053,,Energy Ball,,Celadon City's Game Corner for $25 000.,,,,,,,,,,,
054,,Grassy Glide,,"Safari Zone - Center Area, on a small islet to the north of the entrance.",,,,,,,,,,,
055,,Expanding Force,,"Safari Zone - West Area, on the south-side elevated platform.",,,,,,,,,,,
056,,Air Slash,,Celadon City's Game Corner for $17 500.,,,,,,,,,,,
057,,Temper Flare,,Route 2's eastern side. (Cut HM required),,,,,,,,,,,
058,,Rising Voltage,,Safari Zone - Eastern Area.,,,,,,,,,,,
059,,Dragon Pulse,,Safari Zone - North Area.,,,,,,,,,,,
060,,Drain Punch,,"Saffron City's Dojo, from Chuck after defeating him.",,,,,,,,,,,
061,,Will-O-Wisp,,"Lavender Town's Pokémon Tower, 6F.",,,,,,,,,,,
062,,Iron Tail,,Route 7's grass patch.,,,,,,,,,,,
063,,Venoshock,,"Route 6, in the north western corner.",,,,,,,,,,,
064,,Explosion,,Celadon City's Game Corner for $15 000.,,,,,,,,,,,
065,,Shadow Claw,,Celadon City's Game Corner for $25 000.,,,,,,,,,,,
066,,Steel Beam,,"(POST-GAME) Two Island, close to the Game Corner.",,,,,,,,,,,
067,,Poltergeist,,"Victory Road 1F, northwest, north item of the boulder 'puzzle'.",,,,,,,,,,,
068,,Dual Chop,,"Silph. Co 11F, from Brendan after defeating the Rocket Admins.",,,,,,,,,,,
069,,Stomping Tantrum,,"S.S. Anne 2F, in the third room from the right.",,,,,,,,,,,
070,,Triple Axel,,"Seafoam Islands B1F, heightened platform in the middle of the floor.",,,,,,,,,,,
071,,Stone Edge,,"Pewter City's gym, from Brock after defeating him in a rematch.",,,,,,,,,,,
072,,Draco Barrage,,"(POST-GAME) Viridian City, from Claire after defeating her in a rematch.",,,,,,,,,,,
073,,Thunder Wave,,"Saffron City's Silph Co. 2F, from a lady near some cardboard boxes.",,,,,,,,,,,
074,,Gyro Ball,,Celadon City's Game Corner for $20 000.,,,,,,,,,,,
075,,Knock Off,,Celadon City's Game Corner for $20 000.,,,,,,,,,,,
076,,Earth Power,,Safari Zone - Eastern Area.,,,,,,,,,,,
077,,Thunder Punch,,"Route 24, right of the Nugget Bridge, accessed from Route 25.",,,,,,,,,,,
078,,Low Sweep,,"Mt. Moon B2F, accessed from the third ladder on the first floor.",,,,,,,,,,,
079,,Dark Pulse,,Celadon City's Game Corner for $30 000.,,,,,,,,,,,
080,,Rock Slide,,"Rock Tunnel B1F, from a youngster in the room with multiple crossroads.",,,,,,,,,,,
081,,X-Scissor,,Viridian Forest. (Rock Smash HM required),,,,,,,,,,,
082,,Sleep Talk,,Celadon City's Game Corner for $15 000.,,,,,,,,,,,
083,,Scald,,Celadon City's Game Corner for $25 000.,,,,,,,,,,,
084,,Poison Jab,,Celadon City's Game Corner for $25 000.,,,,,,,,,,,
085,,Future Sight,,"Route 13, in front of a Picnicker.",,,,,,,,,,,
086,,Grass Knot,,"Celadon City's gym, from Erika after defeating her in a rematch.",,,,,,,,,,,
087,,Aerial Ace,,Cerulean City's Pokémart for $5000.,,,,,,,,,,,
088,,Pluck,,Cerulean City's Pokémart for $5000.,,,,,,,,,,,
089,,U-Turn,,"Route 25's east end, from Bugsy after defeating him.",,,,,,,,,,,
090,,Gunk Shot,,"Cinnabar Mansion 1F, locked behind a door near the stairs at the entrance.",,,,,,,,,,,
091,,Flash Cannon,,Celadon City's Game Corner for $25 000.,,,,,,,,,,,
092,,Volt Switch,,"Vermilion City's gym, from Lt. Surge after defeating him.",,,,,,,,,,,
093,,Dragon Tail,,Celadon City's Game Corner for $15 000.,,,,,,,,,,,
094,,Scale Shot,,"(POST-GAME) One Island - Mt. Ember, northeast after moving boulders.",,,,,,,,,,,
095,,Cosmic Power,,"(POST-GAME) Three Island, Berry Forest, by Surfing in the part at the end of the forest.",,,,,,,,,,,
096,,Bulldoze,,"Route 5, in the middle fenced area.",,,,,,,,,,,
097,,Frost Breath,,"(POST-GAME) Seafoam Islands, in the Sandshrew race area.",,,,,,,,,,,
098,,Fire Punch,,"Route 11, on the bottom right side in a narrow path, near the old man below the gate.",,,,,,,,,,,
099,,Wild Charge,,"Route 10, right of Power Plant's entrance.",,,,,,,,,,,
100,,Dual Wingbeat,,"Route 16, north-western part of the Route.",,,,,,,,,,,
101,,Ice Punch,,"Route 9, in the bottom left corner, near the Hiker.",,,,,,,,,,,
102,,Dazzling Gleam,,Celadon City's Game Corner for $30 000.,,,,,,,,,,,
103,,Sludge Wave,,(POST-GAME) Rock Tunnel's entrance near Power Plant.,,,,,,,,,,,
104,,Psyshock,,"Route 7/8 Underground Path, near the western staircase.",,,,,,,,,,,
,,,,,"(HARDCORE) Saffron City's gym, from Sabrina after defeating her.",,,,,,,,,,
105,,Psychic Noise,,Celadon City's Rocket Hideout B3F.,,,,,,,,,,,
106,,Acrobatics,,"Route 8, near the Underground Path, between the two ledges below the old man.",,,,,,,,,,,
107,,Terrain Pulse,,CANNOT BE FOUND.,,,,,,,,,,,
108,,Snarl,,Cerulean City's Pokémart for $5000.,,,,,,,,,,,
109,,Superpower,,"Power Plant, next to Dumbass Jojo Fan in the central room.",,,,,,,,,,,
110,,Scorching Sands,,Celadon City's Game Corner for $12 500.,,,,,,,,,,,
111,,Vacuum Wave,,Cerulean City's Pokémart for $5000.,,,,,,,,,,,
112,,Misty Explosion,,"(POST-GAME) One Island, Mt. Ember, from a Hiker.",,,,,,,,,,,
113,,Play Rough,,"Celadon Dept. Store 3F, from the clerk, for $15 000.",,,,,,,,,,,
114,,Heat Crash,,"Route 17, south of the gate, right above the grass patch.",,,,,,,,,,,
115,,Body Press,,"Saffron City's Silph Co. 5F, in the south room on the west side. (Keycard required)",,,,,,,,,,,
116,,Trick Room,,"Saffron City's gym, from Sabrina after defeating her.",,,,,,,,,,,
,,,,,(HARDCORE) Unavailable.,,,,,,,,,,
117,,Brave Bird,,"Celadon City's hotel, after getting the Mega Ring and defeating the two Beauties there.",,,,,,,,,,,
118,,Steel Roller,,CANNOT BE FOUND.,,,,,,,,,,,
119,,Draco Meteor,,"Viridian City's gym, from Clair after defeating her.",,,,,,,,,,,
,,,,,"(NOTE) After updating from a post-Clair save file, she'll give you the TM.",,,,,,,,,,
120,,Ice Spinner,,"Viridian City, on the other side of the small pond (Surf HM required).",,,,,,,,,,,